temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
27.5,25,86.9,1.6,78.3,133,11.3,5
27.8,25.3,86.4,0,70.7,134.6,11.5,4
28.2,25.2,84.4,0,69.6,127.9,11.1,4
28.8,24.8,80,3.669,71.1,195.7,16.8,7
28.8,25.1,80.9,8.571,73.2,166.9,14.5,6
28.3,25.3,84,6,60.8,189.2,16.3,7
28.5,24.7,80.6,0.734,50.9,210.2,18.1,7
28.3,25.2,83.4,0,54.5,175.9,15.2,7
28.2,25.5,85.7,0.834,68.1,110.8,9.5,4
28.4,25.3,83.8,3.965,69.4,129.5,11.2,5
28.4,24.3,79.4,15.378,73.3,158.5,13.6,6
27.6,24.8,84.6,6.467,75.3,146.1,12.6,5
26.9,24.4,86.4,17.663,70.6,156.3,13.5,5
27.2,25,88.1,8.067,75.2,116.9,10.1,4
27.7,25.2,86.3,3.003,75,103.4,8.8,4
28.6,25,81.6,1.2,73,247.9,21.5,9
28.3,24.7,81.4,9.604,78.8,179.5,15.4,7
26.9,24.7,87.9,8.332,91.8,96.6,8.5,3
27.4,25.5,89.7,3.666,89.7,127,11,4
28.9,25.7,83.6,0,72.5,196,16.8,7
29,25.9,84,0,77.3,130.6,11.1,5
28.6,24.7,80.3,0,73.2,128.3,11.1,5
28.8,24.8,79.6,0,62.4,210,18.1,8
28.4,25.1,83,0,61,150.5,13.1,5
28.3,23.2,75.7,0,53.6,244.8,21.1,9
27.7,23,76.7,0,54.7,261.3,22.5,9
27,22.8,79,0,80.3,216.5,18.6,8
26.6,23,81.1,0,70.1,246.5,21.2,9
27.4,23.9,81.3,1.4,69.7,241.7,20.7,9
27.6,24.1,81.8,24.606,71.5,214.5,18.5,7
28,25.1,84.9,0.147,70,184.9,15.9,7
27.8,25.2,85.8,5,68.2,196,16.8,7
28.2,25.4,85.4,1.4,71.1,147.6,12.7,5
28.4,25.5,85,0.6,71.7,92,7.8,3
27.9,25.1,85.2,50.675,73.6,102.7,8.8,4
26.8,24.4,87.2,84.947,81.6,132.6,11.6,6
26.3,24,87.2,0.8,83.7,122.2,10.6,5
26.5,23.7,85.3,0,75.5,163.1,13.9,6
26.6,23.5,83.9,0,56,195.3,16.8,7
26.7,24.2,86.4,4.3,68.2,130.9,11.1,5
25.7,23.7,89.1,33.065,78.6,96.6,8.4,3
25,23.5,91.3,45.864,79.3,161.4,14,5
24.5,23.6,94.5,228.202,95.8,61.6,5.2,2
25.3,23.9,92,29.845,77.3,141.1,12.2,5
25.7,24.2,91.3,5.488,73.2,156.4,13.6,6
26.6,24.5,88.5,24.858,65.5,184.2,15.9,7
26.8,24.5,87.2,0.053,54.9,218.8,19,8
26.7,23.9,85.2,0.293,64.8,228.5,19.7,8
25.8,22.4,82.5,1.1,79.5,205.3,17.9,8
25.5,23.8,90.3,14.331,93.4,128.3,11,5
27.1,24.8,87.4,9.593,75.3,231.6,20.2,8
27.2,25.2,89,7.159,61.3,158.9,13.7,6
27.1,24.7,87.2,13.072,45.7,188.4,16.2,7
26.8,24.4,86.9,2,76.8,174.4,14.9,7
27.2,24,83.6,0,67.7,234.7,20.4,8
27.4,24.5,85,0.213,77,191.1,16.5,7
26.7,24.2,86.4,3.147,59,209.3,18,7
26.6,23.9,85.4,0,44,225.6,19.4,8
25.9,23.8,88.8,16.22,68.5,134.3,11.7,6
26.4,24.6,89.9,4.965,77.9,89.9,7.8,3
26.8,24.3,86.5,1.9,54.1,179.2,15.4,7
26.6,23.8,85.3,0.3,64,207.6,18,8
26.6,23.2,82,0,52.7,230.5,19.9,8
26.8,23.3,82.1,0,58.6,214.2,18.5,8
26.1,22.8,82.5,0,38.8,233.2,20.1,8
26.3,22.7,81.4,0,37.4,219.5,18.9,8
26,23.5,86.3,0,64.8,213.1,18.4,8
25.8,22.3,82,0,52.3,226.5,19.5,8
24.9,21.3,81.5,0,56.5,222.5,19.3,8
25.2,22.4,85,0,63,189.6,16.3,7
26,23,84.1,6.604,63.6,209.2,18.1,8
25.7,22.9,85.3,0.7,72.2,159.6,13.6,6
25.6,22.5,84.2,0,22.9,227.6,19.6,8
