temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
28.5,22.4,71.8,0.2,84.5,281.6,24.4,10
29.5,21.7,64.4,0,79.3,263.8,22.9,9
28.9,23.2,72.6,3.7,81.8,216.9,18.7,8
28.1,24,79.5,1,87,229.8,19.9,9
28.1,23.6,77.9,4.6,33.9,262.6,22.8,9
28.3,23.4,76.7,6.4,38.8,265.4,22.9,9
27.6,23.7,80.1,0.5,66.8,229.9,19.6,9
26.2,23.4,85.2,69,96.7,172.8,14.7,7
26.2,23.5,85.6,4,93.1,207.3,17.9,8
25.6,23.5,89,71,98.8,117.6,10,5
26.2,23.2,84.4,0.5,84.9,166.3,14.3,6
27.5,23.4,79.4,0.8,64.2,233.2,20,9
26.7,23.9,85.1,15.7,84.5,206.9,17.9,8
26.4,23.7,85.4,0.7,96.7,196.9,16.9,8
26.3,23.9,87,6.9,98.5,135.6,11.9,5
26.7,24,85.8,28.3,87.1,190.9,16.5,8
27.8,22.8,76.2,0,65.6,262.3,22.8,9
28.1,22.8,74.1,0.6,53,248.8,21.5,9
27.7,23.1,77.1,1.1,49.6,246.5,21.2,8
27.4,23.5,80.6,13.2,66.4,224.8,19.3,8
27.4,24.1,83.1,32.8,90.2,243.8,20.9,9
26.8,23.6,83.8,8,93,166.9,14.4,7
26.9,23.9,84.3,1,69.6,234.7,20.3,9
27.1,23.1,80.1,0.5,91.2,211.6,18.2,8
27.6,22.1,74.1,0,80.8,255.7,22,9
27.2,22.3,75.8,0,24.7,261.4,22.5,9
27.3,22.4,75.5,0.2,79.2,268.2,23,9
26.9,23.9,84,8.5,87.2,169.3,14.7,8
26.6,23.5,84.1,16,96.6,198.1,17,8
26.9,23.8,83.6,6,75.8,229.6,19.8,8
27.1,23.2,80.6,1.6,58.8,225,19.5,8
27.2,22.5,76.5,0.2,38.4,252.7,21.7,9
27.4,21.1,70.4,0,52.4,272.9,23.6,9
25.9,22.7,82.9,8.9,98.6,171.5,14.7,6
26.4,21.2,75,0.9,91,275.8,23.8,10
25.9,22,79.5,0.3,95.3,175.9,15,7
27.1,21.7,73.7,0,81.8,214,18.5,8
25.6,22.6,84.2,0.1,87,162.7,14,8
26.2,23.1,83.7,0.5,70.6,211.6,18.4,8
26.3,23.2,83.9,13.1,81.6,180.5,15.5,7
25.5,23.4,88.2,1,95.2,131.8,11.4,7
25.3,23.2,88.9,13,98,134.9,11.6,5
25.2,23.1,88.7,10,95.7,158.8,13.7,7
26.1,23.3,85.3,17,82.7,188.1,16.1,7
25.9,23.1,85.6,4,92.1,204.1,17.6,8
25.7,23.1,86.3,16,97.3,159.9,13.8,8
26.1,23,83.8,0.2,77.3,215.1,18.5,7
25.4,23,87.3,9.9,97.7,172.3,14.9,6
24.9,22.5,87.1,2,99.6,82.2,6.9,5
24.8,22.5,87.7,2,100,60.2,5.2,4
24.6,22.9,90.7,39.4,84.5,51.7,4.4,3
25.8,22.6,82.5,2,90.5,163.7,14.2,7
26,23.2,85,1,91.7,202.2,17.4,7
24.5,22.7,90,7,97.5,120.5,10.4,4
22.8,20.2,86,2,98.5,58.5,5,3
22.2,20.5,90,7,100,37.5,3.4,2
25.3,22.3,84.3,0.7,99.3,171.3,14.8,7
25.7,22.8,84.6,8,90.8,195.1,16.9,7
25.8,22.5,82.6,13,95.9,145.3,12.7,5
25.4,23.2,87.9,16.4,99.3,104.8,9.2,6
25.2,23.4,90.3,2,82.3,119.2,10.3,5
25.3,23.1,88.1,1,92.1,170.1,14.6,7
23.8,23.2,96.2,10,100,23.8,1.9,1
24.8,23.1,90.8,29,93.4,134.3,11.6,6
25.1,22.8,87.5,5.2,71.3,169,14.8,7
25.4,21.3,79.5,0,28.6,238.1,20.7,9
24.9,20.9,79.3,0,20.4,231.4,19.9,8
25.3,21.5,80.8,1,84.6,199.9,17.3,7
25.3,21.4,79.4,0,89.4,193.4,16.8,7
24.4,21.3,83.3,5.8,98.9,158.3,13.6,6
24.4,23,92.1,50,96.6,87.6,7.7,5
